pyDanQ AU ROC	pyDanQ AU PR
0.94817	0.50775
0.97023	0.58607
0.93057	0.16144
0.94916	0.31745
0.93335	0.26292
0.96265	0.28743
0.84720	0.03690
0.98609	0.56517
0.96777	0.06305
0.89869	0.12911
0.97583	0.36702
0.96740	0.45532
0.94441	0.08079
0.96030	0.11463
0.91422	0.36826
0.92132	0.38218
0.96528	0.23897
0.91697	0.03662
0.94770	0.11458
0.86628	0.14314
0.94558	0.25253
0.97638	0.58033
0.98809	0.28115
0.96173	0.35248
0.92859	0.25564
0.95659	0.39180
0.97574	0.34461
0.97471	0.25572
0.96963	0.43291
0.94636	0.23838
0.94016	0.09432
0.94542	0.43244
0.89074	0.03967
0.90782	0.15609
0.91952	0.27125
0.94113	0.32108
0.92986	0.34011
0.95069	0.53691
0.96100	0.26553
0.98258	0.54795
0.96969	0.27580
0.98992	0.44961
0.97025	0.29111
0.98054	0.33982
0.89839	0.09428
0.92934	0.17777
0.97382	0.44788
0.88020	0.08307
0.91713	0.25710
0.98496	0.18456
0.91137	0.14611
0.96905	0.36468
0.98332	0.43444
0.95157	0.35949
0.94494	0.11225
0.96688	0.35404
0.95738	0.39525
0.92798	0.18150
0.98044	0.15794
0.95995	0.30602
0.87688	0.30950
0.92651	0.06513
0.92391	0.23316
0.90405	0.22109
0.90276	0.27487
0.95629	0.29598
0.93236	0.28888
0.90216	0.30681
0.98646	0.59060
0.88663	0.21216
0.95121	0.51046
0.97180	0.37615
0.94095	0.30506
0.94269	0.28706
0.96776	0.41769
0.98338	0.65099
0.85157	0.01947
0.84112	0.05188
0.84094	0.05157
0.91444	0.24363
0.85286	0.15132
0.88630	0.10480
0.96925	0.40882
0.91209	0.34472
0.95563	0.13781
0.96938	0.47283
0.96948	0.32017
0.68976	0.01224
0.98388	0.63088
0.96715	0.52339
0.94378	0.17292
0.98982	0.56145
0.93578	0.20162
0.99793	0.12097
0.98431	0.42241
0.88023	0.06957
0.93650	0.30341
0.95383	0.04900
0.97147	0.54394
0.96423	0.18423
0.84515	0.12781
0.95868	0.40849
0.90831	0.11817
0.96589	0.11497
0.95305	0.33401
0.94861	0.40183
0.93357	0.33457
0.98886	0.28816
0.92570	0.21044
0.98267	0.41289
0.94328	0.41338
0.98441	0.46298
0.94869	0.13654
0.91537	0.17487
0.91375	0.38542
0.91834	0.35137
0.96348	0.39853
0.46978	0.00004
0.97374	0.58599
0.91132	0.22253
0.94506	0.33248
0.97255	0.65145
0.90733	0.03169
0.90092	0.07249
0.91759	0.17023
0.90064	0.21587
0.96007	0.12265
0.96952	0.32868
0.86487	0.09978
0.92481	0.09324
0.98194	0.61518
0.31936	0.00028
0.88717	0.07355
0.92771	0.30668
0.91687	0.37846
0.94655	0.19170
0.94339	0.48878
0.94524	0.27095
0.97185	0.60064
0.93142	0.17682
0.93220	0.44663
0.95510	0.09528
0.97383	0.56497
0.93508	0.20175
0.96354	0.59970
0.94874	0.16540
0.94529	0.48130
0.95785	0.15516
0.95483	0.52307
0.95262	0.19757
0.94228	0.09632
0.97546	0.36406
0.94874	0.04690
0.96893	0.26733
0.95894	0.15580
0.97166	0.17328
0.95097	0.15082
0.95865	0.21206
0.95259	0.23441
0.96552	0.33485
0.94196	0.23723
0.96467	0.23539
0.98658	0.43567
0.97065	0.60144
0.83118	0.03254
0.94521	0.35876
0.97920	0.23694
0.95846	0.39482
0.98073	0.38874
0.95113	0.55068
0.95143	0.48484
0.88816	0.21375
0.86982	0.13579
0.80957	0.11471
0.99255	0.55280
0.84084	0.05301
0.84959	0.18859
0.90434	0.20171
0.90057	0.22585
0.90153	0.12719
0.92446	0.06886
0.87861	0.06495
0.94375	0.20827
0.67424	0.00013
0.62826	0.00043
0.88216	0.01864
0.93163	0.37342
0.97037	0.23645
0.94508	0.37296
0.94814	0.31178
0.95522	0.23262
0.91815	0.21528
0.98306	0.25647
0.96267	0.17608
0.96986	0.24939
0.96991	0.41639
0.95851	0.36199
0.92930	0.24058
0.98986	0.39689
0.95824	0.17878
0.97819	0.42252
0.94819	0.34809
0.94722	0.25332
0.92983	0.34986
0.96613	0.39350
0.94750	0.29797
0.96462	0.34910
0.93796	0.29747
0.96923	0.41251
0.91811	0.24315
0.90939	0.33005
0.95539	0.55499
0.87788	0.03801
0.95282	0.50275
0.92169	0.25119
0.89177	0.05573
0.95657	0.47848
0.79942	0.00445
0.84545	0.14139
0.92645	0.19612
0.90589	0.25072
0.86401	0.17349
0.86514	0.04309
0.92720	0.07137
0.88345	0.05184
0.94950	0.26535
0.89510	0.08533
0.96382	0.31835
0.95112	0.00013
0.87913	0.00897
0.91578	0.15279
0.94997	0.21939
0.98726	0.13775
0.96735	0.30337
0.97378	0.53531
0.97311	0.17447
0.97526	0.32813
0.95145	0.11459
0.96585	0.03359
0.98310	0.13493
0.96156	0.21964
0.93409	0.07211
0.97996	0.31636
0.97524	0.54394
0.97124	0.50660
0.97318	0.66482
0.97283	0.53681
0.97434	0.34172
0.97293	0.37343
0.96177	0.41707
0.98418	0.47643
0.94357	0.10602
0.90880	0.03372
0.95742	0.39865
0.93967	0.40179
0.83179	0.07975
0.97513	0.56595
0.88600	0.21426
0.97525	0.57844
0.97639	0.16413
0.94993	0.35070
0.87495	0.03782
0.95029	0.14964
0.98553	0.32793
0.78179	0.00007
0.93797	0.41927
0.95151	0.30936
0.89244	0.23962
0.97915	0.28169
0.91684	0.28342
0.95599	0.50036
0.97164	0.60175
0.96338	0.46248
0.92576	0.36976
0.96628	0.52579
0.92656	0.09869
0.95824	0.23344
0.97679	0.23544
0.94516	0.19171
0.93583	0.11070
0.94756	0.25660
0.75822	0.00091
0.89401	0.04608
0.96142	0.44440
0.96141	0.36127
0.98218	0.30295
0.96643	0.28573
0.96386	0.23727
0.96805	0.20813
0.96217	0.23575
0.96651	0.23569
0.98029	0.24332
0.96521	0.23294
0.95768	0.25824
0.94372	0.37558
0.94362	0.31692
0.94259	0.34523
0.97845	0.19061
0.90645	0.10569
0.90708	0.22739
0.97192	0.55460
0.99063	0.41395
0.96435	0.31088
0.96870	0.40766
0.96973	0.18720
0.94887	0.21784
0.95054	0.11076
0.96121	0.16292
0.97504	0.45501
0.89984	0.02070
0.95082	0.10180
0.95944	0.23586
0.94976	0.25588
0.98067	0.53712
0.94788	0.33631
0.92468	0.15795
0.95689	0.36682
0.96031	0.34420
0.94890	0.36023
0.95955	0.45769
0.96642	0.20617
0.97096	0.04157
0.97816	0.15406
0.98892	0.38830
0.98241	0.53006
0.97617	0.38196
0.92077	0.23220
0.96228	0.45716
0.96269	0.45586
0.96051	0.44477
0.96074	0.51104
0.91445	0.11519
0.87036	0.08311
0.78159	0.01836
0.96080	0.49229
0.92760	0.00004
0.99164	0.56074
0.84379	0.05820
0.89754	0.08925
0.90159	0.05893
0.94530	0.09848
0.95529	0.06076
0.98685	0.63853
0.93785	0.04135
0.93748	0.05370
0.90312	0.07171
0.90419	0.05007
0.95454	0.06311
0.93031	0.05705
0.94632	0.31305
0.93240	0.10868
0.95192	0.17999
0.94300	0.35653
0.87779	0.05080
0.90513	0.02279
0.97665	0.18127
0.95890	0.26715
0.98154	0.37804
0.98761	0.39057
0.94301	0.53632
0.94427	0.05899
0.90781	0.22709
0.93995	0.36059
0.96384	0.49598
0.95778	0.53577
0.95794	0.50881
0.96458	0.53177
0.93522	0.30386
0.94452	0.28667
0.94878	0.33029
0.91941	0.47255
0.93375	0.50188
0.92558	0.30431
0.92163	0.29129
0.93526	0.16415
0.92492	0.27067
0.91666	0.30586
0.85963	0.12088
0.87049	0.07146
0.94703	0.41687
0.84698	0.09144
0.86229	0.13913
0.94968	0.31800
0.94589	0.32920
0.97431	0.51761
0.96880	0.23155
0.97756	0.33252
0.89082	0.31915
0.83255	0.07751
0.97043	0.17855
0.90439	0.24986
0.94841	0.47288
