pyDanQ AU ROC	pyDanQ AU PR
0.94841	0.50668
0.96768	0.55626
0.94017	0.19094
0.95172	0.31479
0.93990	0.29304
0.99112	0.30212
0.85532	0.04100
0.98636	0.56460
0.97067	0.06867
0.90851	0.14548
0.97990	0.40146
0.97007	0.45766
0.95986	0.11657
0.96408	0.12888
0.92011	0.37499
0.92546	0.40571
0.96672	0.25203
0.91673	0.03464
0.94291	0.13745
0.86592	0.14571
0.94468	0.25560
0.97489	0.54854
0.98824	0.29829
0.96298	0.36857
0.92938	0.25960
0.96114	0.41027
0.97603	0.37160
0.97513	0.28522
0.96839	0.44768
0.94388	0.22478
0.93943	0.09088
0.94791	0.44893
0.90296	0.03949
0.90496	0.14276
0.95070	0.32844
0.93065	0.30552
0.92271	0.32841
0.94759	0.55692
0.96873	0.30475
0.98037	0.51553
0.97257	0.28921
0.98896	0.47029
0.96703	0.29045
0.98532	0.33172
0.89990	0.09718
0.93614	0.14994
0.97231	0.44254
0.87415	0.08317
0.91107	0.23677
0.98287	0.19306
0.90537	0.13058
0.97292	0.38302
0.98229	0.44682
0.95037	0.37024
0.95470	0.13286
0.96672	0.36518
0.97811	0.47076
0.91997	0.17823
0.98050	0.16524
0.96052	0.32166
0.93382	0.40464
0.92658	0.07457
0.92180	0.22744
0.90906	0.23405
0.90664	0.28680
0.96055	0.30615
0.96247	0.33246
0.89947	0.29822
0.98444	0.57074
0.89061	0.22089
0.94725	0.50446
0.97545	0.38774
0.94362	0.30869
0.94326	0.26918
0.96859	0.41575
0.98167	0.63320
0.85712	0.01875
0.84857	0.04883
0.84843	0.04831
0.91751	0.25930
0.85888	0.15340
0.87760	0.10213
0.97770	0.43484
0.91459	0.33942
0.95802	0.14190
0.97315	0.50813
0.97241	0.34961
0.69819	0.01013
0.98158	0.59309
0.96416	0.48033
0.95210	0.19857
0.99087	0.54556
0.94476	0.21428
0.99765	0.34343
0.98357	0.43097
0.87683	0.06965
0.93831	0.30988
0.95571	0.05511
0.96769	0.51630
0.96576	0.18664
0.90491	0.24520
0.96144	0.41972
0.91447	0.12751
0.96367	0.10440
0.95564	0.34279
0.95107	0.40501
0.93922	0.33314
0.98822	0.29685
0.93783	0.23329
0.99108	0.40489
0.93961	0.41131
0.98818	0.48500
0.95411	0.16470
0.92357	0.20347
0.91549	0.37764
0.91656	0.34283
0.96592	0.39670
0.45928	0.00002
0.97075	0.55788
0.91761	0.22487
0.94673	0.32241
0.96858	0.62824
0.90403	0.03606
0.90786	0.08377
0.92467	0.19805
0.90459	0.22002
0.95146	0.09740
0.97366	0.34532
0.86661	0.09634
0.91377	0.08853
0.98040	0.60018
0.31012	0.00019
0.87753	0.08144
0.93665	0.32755
0.92146	0.37299
0.95385	0.20412
0.94595	0.48063
0.95076	0.28266
0.97194	0.58657
0.93882	0.19047
0.93367	0.43524
0.95405	0.09704
0.97259	0.55039
0.94209	0.22707
0.96307	0.58727
0.95673	0.20418
0.94520	0.47492
0.96285	0.17247
0.95571	0.51054
0.95618	0.22130
0.95331	0.13730
0.97877	0.41444
0.94393	0.04455
0.96844	0.27300
0.96551	0.12678
0.97601	0.19347
0.95179	0.14206
0.95729	0.21774
0.95220	0.24142
0.97049	0.38650
0.95419	0.27167
0.97112	0.24883
0.99102	0.48112
0.96823	0.56671
0.85071	0.03930
0.94932	0.36265
0.97741	0.24064
0.95948	0.39098
0.98346	0.40475
0.95069	0.53199
0.95049	0.47821
0.89382	0.21411
0.88087	0.14905
0.81764	0.11670
0.99218	0.54704
0.85148	0.05810
0.85323	0.19372
0.91165	0.21829
0.90983	0.24803
0.90737	0.13563
0.93021	0.07872
0.89704	0.02351
0.94751	0.23097
0.72705	0.00050
0.58708	0.00035
0.86247	0.01355
0.93564	0.38784
0.97037	0.25486
0.94551	0.37231
0.94873	0.33060
0.95783	0.24068
0.91710	0.21745
0.98412	0.25135
0.96610	0.17746
0.97113	0.24741
0.97313	0.42480
0.96415	0.39110
0.92900	0.23855
0.99025	0.39375
0.95802	0.17641
0.98336	0.43059
0.94895	0.35867
0.94888	0.27757
0.93119	0.35372
0.96489	0.39276
0.94924	0.29415
0.96138	0.34224
0.93973	0.28695
0.96160	0.45557
0.92086	0.26195
0.90563	0.31549
0.95451	0.55912
0.89177	0.04585
0.95195	0.48328
0.91926	0.25100
0.91271	0.07214
0.95425	0.46180
0.78773	0.00415
0.88896	0.18660
0.93357	0.22461
0.90774	0.24847
0.87030	0.18184
0.87114	0.03787
0.93197	0.07608
0.88704	0.05428
0.95366	0.27073
0.88272	0.09948
0.95971	0.32199
0.86303	0.00007
0.83946	0.01014
0.92371	0.16063
0.95510	0.23097
0.98910	0.21224
0.97437	0.32088
0.97883	0.57355
0.97506	0.19483
0.97639	0.35749
0.96007	0.14341
0.96606	0.03021
0.98853	0.15063
0.96795	0.25247
0.93388	0.05961
0.97140	0.32115
0.97676	0.56086
0.97236	0.51861
0.97245	0.66527
0.97288	0.55751
0.97675	0.35143
0.97473	0.37141
0.96469	0.41579
0.99409	0.51970
0.94541	0.11943
0.90614	0.03176
0.95745	0.39561
0.94163	0.39897
0.82971	0.07834
0.97287	0.53723
0.89626	0.22535
0.97349	0.55941
0.98133	0.15430
0.95179	0.34842
0.89098	0.04572
0.95119	0.16815
0.98830	0.34017
0.71022	0.00005
0.94316	0.43848
0.95670	0.33742
0.90312	0.26478
0.98246	0.30601
0.92337	0.28516
0.96026	0.52800
0.96889	0.59154
0.96324	0.48851
0.92598	0.36238
0.96380	0.49884
0.92423	0.08923
0.96132	0.24225
0.98506	0.24225
0.95073	0.21363
0.96488	0.07731
0.94615	0.25180
0.72356	0.00118
0.88744	0.04038
0.95951	0.44377
0.96385	0.39630
0.98414	0.34633
0.96724	0.30343
0.96513	0.23423
0.97006	0.21479
0.96410	0.24243
0.96989	0.24650
0.98161	0.27394
0.96846	0.26674
0.95887	0.27772
0.94368	0.37894
0.94506	0.31782
0.94479	0.35350
0.97995	0.22541
0.90532	0.07977
0.90905	0.22785
0.96947	0.52352
0.99016	0.42461
0.96576	0.33529
0.96934	0.42223
0.97097	0.16681
0.95095	0.20120
0.95302	0.11655
0.95952	0.15277
0.97427	0.45361
0.88355	0.01854
0.94844	0.09306
0.95573	0.22519
0.94809	0.24833
0.97884	0.52962
0.94763	0.35012
0.92837	0.16787
0.96358	0.39539
0.96623	0.38495
0.94911	0.36023
0.95781	0.44510
0.96618	0.20990
0.95119	0.04147
0.98348	0.15784
0.98681	0.38341
0.98168	0.52586
0.97835	0.42182
0.91882	0.21678
0.96155	0.45320
0.96143	0.44412
0.96056	0.43842
0.95991	0.49864
0.91078	0.12242
0.86884	0.08143
0.77017	0.00907
0.96045	0.48294
0.95327	0.00007
0.98992	0.53418
0.84017	0.05569
0.90651	0.07247
0.89721	0.08149
0.94457	0.10367
0.95114	0.05456
0.98475	0.60444
0.95186	0.07711
0.92715	0.04210
0.95372	0.11814
0.95507	0.06643
0.95119	0.07739
0.93124	0.05084
0.93259	0.27025
0.93244	0.09696
0.95027	0.16429
0.94352	0.35666
0.87575	0.04411
0.89020	0.02654
0.97732	0.18782
0.96041	0.26012
0.98201	0.36515
0.98873	0.41433
0.94141	0.50945
0.94889	0.07046
0.89932	0.27615
0.94467	0.26744
0.96367	0.50880
0.95956	0.55147
0.95833	0.51805
0.96587	0.54647
0.93824	0.31694
0.94722	0.29539
0.94807	0.33892
0.91785	0.46328
0.93331	0.49932
0.94229	0.37169
0.94223	0.36906
0.95271	0.22065
0.94370	0.35723
0.93986	0.40668
0.87412	0.13917
0.87886	0.07910
0.94749	0.41043
0.84681	0.09119
0.83135	0.10418
0.95194	0.33251
0.94996	0.35298
0.97304	0.50444
0.96835	0.20604
0.97845	0.34126
0.87900	0.26808
0.83964	0.07945
0.95588	0.14265
0.89936	0.24327
0.94611	0.49252
0.94911	0.54224
0.91550	0.31060
0.92268	0.20981
0.85056	0.10860
0.88591	0.37510
0.97911	0.32935
0.92632	0.17139
0.87115	0.02502
0.95670	0.24183
0.92105	0.26959
0.97194	0.58721
0.98240	0.47826
0.97502	0.53650
0.96997	0.59875
0.98060	0.44865
0.98010	0.27522
0.97684	0.55837
0.93923	0.41951
0.97627	0.51990
0.97096	0.51584
0.97129	0.55069
0.97365	0.47720
0.97688	0.56811
0.89839	0.00990
0.97920	0.48282
0.95508	0.45212
0.95693	0.10620
0.97159	0.54215
0.94921	0.50221
0.98649	0.17709
0.98827	0.67506
0.93157	0.37728
0.97589	0.16871
0.97622	0.50704
0.97665	0.45761
0.97781	0.22156
0.97497	0.54569
0.94443	0.42762
0.95198	0.19450
0.96631	0.33986
0.95552	0.13426
0.94859	0.34818
0.96937	0.55365
0.97159	0.55261
0.97073	0.53653
0.97246	0.55352
0.96318	0.59631
0.97205	0.54438
0.96864	0.46105
0.92825	0.38099
0.97279	0.57348
0.97756	0.52524
0.94673	0.42743
0.96860	0.60039
0.97390	0.56538
0.96308	0.57078
0.97313	0.62071
0.96583	0.59496
0.96540	0.56512
0.96619	0.54679
0.96235	0.60932
0.96697	0.59900
0.98044	0.62289
0.97251	0.60623
0.99440	0.24645
0.96942	0.60295
0.97403	0.61735
0.96890	0.60538
0.96522	0.61033
0.97970	0.60196
0.97783	0.60529
0.97899	0.61647
0.96254	0.59485
0.97305	0.61011
0.96262	0.60118
0.97174	0.59044
0.95947	0.60139
0.95900	0.59711
0.96919	0.60740
0.96314	0.58245
0.97578	0.60006
0.97797	0.60323
0.97645	0.58834
0.97606	0.60357
0.96891	0.62467
0.99232	0.61908
0.96320	0.59048
0.96406	0.58905
0.95746	0.59535
0.96924	0.57416
0.97293	0.60276
0.97109	0.60082
0.98032	0.61978
0.96568	0.60401
0.97547	0.58523
0.96530	0.58381
0.98341	0.63594
0.96013	0.57725
0.96916	0.60531
0.97090	0.55166
0.96249	0.64895
0.97663	0.61952
0.97985	0.61828
0.97621	0.57912
0.93315	0.68290
0.84697	0.34096
0.87073	0.15279
0.79632	0.06378
0.85041	0.15553
0.87994	0.11697
0.82259	0.06222
0.85534	0.23287
0.88090	0.05847
0.85437	0.31872
0.86067	0.03959
0.95121	0.48376
0.85739	0.40946
0.87704	0.44867
0.78557	0.17398
0.85411	0.05126
0.84740	0.35234
0.91177	0.72178
0.97630	0.86652
0.89105	0.27279
0.86788	0.10390
0.84841	0.11470
0.94062	0.63915
0.81192	0.23135
0.86179	0.23797
0.85984	0.31837
0.91547	0.47078
0.82937	0.49498
0.86097	0.45640
0.85773	0.46057
0.84329	0.08763
0.78029	0.13359
0.79682	0.34025
0.87879	0.54659
0.89669	0.57392
0.80498	0.32635
0.88027	0.51148
0.87422	0.04115
0.84134	0.06803
0.85546	0.12223
0.88359	0.58442
0.79752	0.46794
0.79296	0.42579
0.75055	0.24467
0.81020	0.52334
0.89853	0.67221
0.88914	0.63724
0.76490	0.29312
0.90904	0.60665
0.81589	0.30586
0.74521	0.25284
0.93449	0.64281
0.84712	0.52465
0.82606	0.28307
0.76774	0.12756
0.82095	0.51858
0.88513	0.69006
0.92608	0.69858
0.78779	0.32468
0.88077	0.59121
0.81981	0.15955
0.79508	0.23414
0.93451	0.56406
0.84841	0.40001
0.85811	0.20503
0.78183	0.04708
0.79738	0.33908
0.88579	0.58116
0.94193	0.64578
0.78880	0.26521
0.92013	0.56345
0.84576	0.10368
0.80030	0.15239
0.88521	0.51076
0.83677	0.49950
0.86303	0.37602
0.78463	0.20572
0.79741	0.47983
0.85990	0.60384
0.91371	0.67039
0.78902	0.33002
0.88576	0.57882
0.82017	0.05395
0.80600	0.14629
